codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,FURNISHED,POOL,ELEVATOR,LAVABO,SAUNA,PORCELAIN,INTERCOM,AIR_CONDITIONING,numberOfSuites,PETS_ALLOWED,BALCONY,BACKYARD,SPORTS_COURT,BARBECUE_GRILL,LAUNDRY,ALARM_SYSTEM,SERVICE_AREA,GARDEN,DEPOSIT,PLAYGROUND,SEA_VIEW,GOURMET_BALCONY,KITCHEN,PARTY_HALL,CABLE_TV,KITCHEN_CABINETS,SAFETY_CIRCUIT,GATED_COMMUNITY,HEATING,CONCIERGE_24H,WATCHMAN,GOURMET_SPACE,GYM,BICYCLES_PLACE,DINNER_ROOM,PAVED_STREET,RECEPTION,CLOSET,CARETAKER,ARMORED_SECURITY_CABIN,RECREATION_AREA,ELECTRONIC_GATE,INTERNET_ACCESS,BLINDEX_BOX,BEDROOM_WARDROBE,BATHROOM_CABINETS,DISABLED_ACCESS,HOME_OFFICE,SPA,TENNIS_COURT,INDOOR_SOCCER,MOUNTAIN_VIEW,CHILDRENS_POOL,DECK,MASSAGE_ROOM,GRASS,CINEMA,SQUASH,COPA,AMERICAN_KITCHEN,ELECTRIC_GENERATOR,TOYS_PLACE,PANTRY,BAR,FIREPLACE,GAMES_ROOM,WALL_BALCONY,PLANNED_FURNITURE,ALUMINUM_WINDOW,NATURAL_VENTILATION,LARGE_WINDOW,EMPLOYEE_DEPENDENCY,ENTRANCE_HALL,SERVICE_BATHROOM,INTEGRATED_ENVIRONMENTS,HIGH_CEILING_HEIGHT,LARGE_ROOM,COLD_FLOOR,WHIRLPOOL,BARBECUE_BALCONY,BUILTIN_WARDROBE,SQUARE,HEATED_POOL,TEEN_SPACE,SERVICE_ROOM,STAIR,FULL_FLOOR,FITNESS_ROOM,LARGE_KITCHEN,PANORAMIC_VIEW,PLATED_GAS,LAMINATED_FLOOR,ADULT_POOL,GREEN_SPACE,PIZZA_OVEN,BEAUTY_CENTER,SECURITY_CAMERA,SECURITY_CABIN,COWORKING,COOKER,SOLARIUM,FOOTBALL_FIELD,GOURMET_KITCHEN,BATHTUB,SANCA,PET_SPACE,SERVICE_ENTRANCE,PRIVATE_POOL,DIGITAL_LOCKER,WOOD_FLOOR,VALET_PARKING,PARKING,MEZZANINE,LUNCH_ROOM,PATROL,GLASS_WALL,SMALL_ROOM,CORNER_PROPERTY,ADMINISTRATION,GAS_SHOWER,MEETING_ROOM,MASSAGE,TREE_CLIMBING,LIBRARY,HIKING_TRAIL,SMART_CONDOMINIUM,POOL_BAR,RESTAURANT,COVENTION_HALL,SOUNDPROOFING,SIDE_ENTRANCE,ZEN_SPACE,REDARIO,HALF_FLOOR,COVERED_POOL,GUEST_PARKING,REVERSIBLE_ROOM,STORES,BEAUTY_ROOM,COVERAGE,ELETRIC_CHARGER,SEMI_OLYMPIC_POOL,ECO_GARBAGE_COLLECTOR,VINYL_FLOOR,SLAB,LAKE_VIEW,FRUIT_TREES,HOT_TUB,THERMAL_INSULATION,DIVIDERS,WALLS_GRIDS,FREEZER
14125,2580312389,14/09/2022,29/05/2025,Invista Inteligência Imobiliária,R$ 490.000,R$ 550,R$ 200,"Aparecida, Santos - SP",64 m²,1 quarto,1 banheiro,1 vaga,6 andar,,,Elevador,,,,Interfone,,,Aceita animais,Varanda,,,,,,Área de serviço,,,,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27520,2777240537,06/02/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 340.000,R$ 468,R$ 107,"Vila Matias, Santos - SP",50 m²,1 quarto,1 banheiro,1 vaga,6 andar,,,Elevador,,,,Interfone,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,Aquecimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03987,2747123929,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 2.500.000,R$ 2.460,R$ 850,"Rua Doutor Artur Porchat de Assis - Boqueirão, Santos - SP",270 m²,4 quartos,6 banheiros,4 vagas,7 andar,,,Elevador,,,,Interfone,Ar-condicionado,4 suítes,Aceita animais,Varanda,,,Churrasqueira,,Sistema de alarme,,,,,Vista para o mar,,Cozinha,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,,,,,,,Guarita blindada,,,,,,,,Escritório,,,,,,,,,Cinema,,Copa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP4479,2549597598,29/01/2022,29/05/2025,R3 Imóveis,R$ 1.272.000,R$ 3.350,R$ 550,"Avenida Bartolomeu de Gusmão, 130 - Aparecida, Santos - SP",237 m²,3 quartos,4 banheiros,1 vaga,3 andar,,,Elevador,Lavabo,,,Interfone,,1 suíte,Aceita animais,,,,,,,,,,,Vista para o mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apgc7522,2807323114,19/05/2025,29/05/2025,Corretor Yannis,R$ 375.000,R$ 665,R$ 165,"Rua Doutor Guedes Coelho, 9999 - Encruzilhada, Santos - SP",50 m²,1 quarto,1 banheiro,1 vaga,,,Piscina,Elevador,,Sauna,,,Ar-condicionado,,Aceita animais,,,,,,,,,,Playground,,,,Salão de festas,,,,Condomínio fechado,,Portaria 24h,,,Academia,,,,,,,,,Portão eletrônico,,,,,,,,,,,,,,,,,,,,,,,,Salão de jogos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP13265,2744813593,25/09/2024,29/05/2025,R3 Imóveis,R$ 590.000,R$ 1.300,R$ 290,"Avenida Doutor Bernardino de Campos, 426 - Campo Grande, Santos - SP",120 m²,2 quartos,3 banheiros,1 vaga,3 andar,Mobiliado,,Elevador,Lavabo,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escritório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,2759069237,25/11/2024,29/05/2025,Elton Ayres Imóveis,R$ 789.000,R$ 1.300,R$ 370,"Avenida Bartholomeu de Gusmão, 74 - Aparecida, Santos - SP",100 m²,2 quartos,3 banheiros,1 vaga,5 andar,,,Elevador,,,,,,1 suíte,,,,,,,,,,,,,,,Salão de festas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP08169,2683503121,15/01/2024,29/05/2025,Duarte Prime Brokers,R$ 450.000,R$ 400,R$ 160,"Rua Professor Reinaldo Porchat - Vila Belmiro, Santos - SP",118 m²,3 quartos,2 banheiros,,3 andar,,,,,,,,Ar-condicionado,,,,,,,,,,,,,,,,,,Armário na cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14300,2580314812,14/09/2022,29/05/2025,Invista Inteligência Imobiliária,R$ 550.000,R$ 998,R$ 226,"Marapé, Santos - SP",98 m²,2 quartos,2 banheiros,2 vagas,9 andar,,,Elevador,,,,Interfone,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446286D,2809868165,29/05/2025,29/05/2025,Usuário Newcore,R$ 549.290,R$ 630,R$ 365,"Rua Comendador Martins, 110 - Vila Matias, Santos - SP",69 m²,2 quartos,2 banheiros,1 vaga,,,Piscina,Elevador,,,,,,1 suíte,Aceita animais,,,Quadra poliesportiva,Churrasqueira,,,,,,Playground,,,,Salão de festas,,,,,,,,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02381,2747125098,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 795.000,R$ 970,R$ 349,"Rua da Paz - Boqueirão, Santos - SP",47 m²,1 quarto,1 banheiro,1 vaga,14 andar,,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,,,Varanda,,,Churrasqueira,Lavanderia,Sistema de alarme,,,,,Vista para o mar,,Cozinha,Salão de festas,TV à cabo,Armário na cozinha,Circuito de segurança,,,Portaria 24h,,,,,,,,,,Guarita blindada,Área de lazer,,Conexão à internet,,,,,,,,,,,Deck,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12124,2806389060,15/05/2025,29/05/2025,Oshiro Imóveis,R$ 660.000,R$ 1.100,R$ 140,"Rua Carlos Affonseca - Gonzaga, Santos - SP",83 m²,2 quartos,2 banheiros,,3 andar,Mobiliado,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,Área de serviço,,,,,,Cozinha,,TV à cabo,,Circuito de segurança,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501,2754672604,06/11/2024,29/05/2025,Familia Imoveis Consultoria,R$ 770.000,R$ 1.620,R$ 311,"Rua Governador Pedro de Toledo - Boqueirão, Santos - SP",183 m²,3 quartos,3 banheiros,1 vaga,4 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP10764,2648496360,07/08/2023,29/05/2025,R3 Imóveis,R$ 1.820.000,R$ 2.400,R$ 844,"Rua Jorge Tibiriçá, 12 - Gonzaga, Santos - SP",200 m²,4 quartos,6 banheiros,3 vagas,4 andar,,,,Lavabo,,,,,4 suítes,,Varanda,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP7421,2568603246,24/06/2022,29/05/2025,R3 Imóveis,R$ 595.000,R$ 1.600,R$ 282,"Rua Maestro Heitor Vila Lobos, 210 - Ponta da Praia, Santos - SP",110 m²,2 quartos,3 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28320,2729169720,18/07/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 700.000,R$ 1.716,R$ 250,"José Menino, Santos - SP",120 m²,2 quartos,2 banheiros,1 vaga,2 andar,,,Elevador,,,,Interfone,,1 suíte,,Varanda,,,,,,Área de serviço,,,,Vista para o mar,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,2738861038,31/08/2024,29/05/2025,Elo Corretores Associados Ltda,R$ 1.350.000,R$ 1.500,R$ 450,"Avenida Bartholomeu de Gusmão - Boqueirão, Santos - SP",147 m²,3 quartos,3 banheiros,1 vaga,,,,Elevador,,,,,,1 suíte,,,,,,,,,,,,,,,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24945,2678239630,22/12/2023,29/05/2025,Invista Inteligência Imobiliária,R$ 899.000,R$ 800,R$ 350,"Ponta da Praia, Santos - SP",65 m²,2 quartos,2 banheiros,1 vaga,,,Piscina,Elevador,,,,Interfone,,1 suíte,Aceita animais,Varanda,,,,,,Área de serviço,,,,Vista para o mar,,Cozinha,Salão de festas,,,,Condomínio fechado,,Portaria 24h,Vigia,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ap02,2802948930,03/05/2025,29/05/2025,Pablo Montalvao Imóveis,R$ 1.900.000,R$ 1.600,R$ 420,"Praça Engenheiro José Rebouças, 12 - Ponta da Praia, Santos - SP",197 m²,4 quartos,4 banheiros,2 vagas,5 andar,Mobiliado,Piscina,Elevador,,Sauna,,,Ar-condicionado,3 suítes,Aceita animais,Varanda,,,,,,Área de serviço,,,,,Varanda gourmet,,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,,,,,,,,,,,,Armário embutido no quarto,,,,,,,,,,,,,,,,,,,,,Salão de jogos,,,,,,,,,,,Sala grande,,,,Armário embutido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,2726125377,03/07/2024,29/05/2025,Conceito 013 Imóveis,R$ 520.000,R$ 1.100,R$ 180,"Avenida Ana Costa, 386 - Gonzaga, Santos - SP",97 m²,2 quartos,2 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,,,,,,,,,,,,,,,,,,,,,,,,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33615,2800689437,25/04/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 410.000,R$ 452,R$ 102,"Embaré, Santos - SP",73 m²,2 quartos,1 banheiro,1 vaga,,,,,,,,Interfone,Ar-condicionado,,Aceita animais,,Quintal,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30535,2751508444,24/10/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 375.000,R$ 340,R$ 90,"Aparecida, Santos - SP",65 m²,2 quartos,1 banheiro,1 vaga,3 andar,,,,,,,Interfone,,,,,,,,,,,,,,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,2726126351,03/07/2024,29/05/2025,Conceito 013 Imóveis,R$ 750.000,R$ 800,R$ 355,"Avenida Presidente Wilson, 210 - José Menino, Santos - SP",77 m²,2 quartos,2 banheiros,1 vaga,9 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,,1 suíte,,,,,Churrasqueira,Lavanderia,,,,,Playground,,,,,TV à cabo,,Circuito de segurança,,,,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22997,2656729769,20/09/2023,29/05/2025,Invista Inteligência Imobiliária,R$ 850.000,R$ 1.950,R$ 249,"Gonzaga, Santos - SP",146 m²,3 quartos,3 banheiros,2 vagas,10 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02463,2747256697,05/10/2024,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,R$ 3.950.000,R$ 1.550,R$ 750,"Gonzaga, Santos - SP",207 m²,3 quartos,3 banheiros,3 vagas,17 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,3 suítes,,Varanda,,,Churrasqueira,Lavanderia,Sistema de alarme,,,,Playground,Vista para o mar,Varanda gourmet,,Salão de festas,,Armário na cozinha,,,Aquecimento,Portaria 24h,,Espaço gourmet,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,Conexão à internet,,,,,,,,,Vista para a montanha,Piscina infantil,,,,,,Copa,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03217,2747125479,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 889.000,R$ 990,R$ 380,"Rua General Rondon - Aparecida, Santos - SP",82 m²,2 quartos,3 banheiros,1 vaga,,,Piscina,Elevador,,,,,,2 suítes,,Varanda,,,Churrasqueira,,,,,,,,,,Salão de festas,,,,,,Portaria 24h,,Espaço gourmet,Academia,,,,,,,Guarita blindada,,,,,,,,,,,,,Piscina infantil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336519X,2809177090,26/05/2025,29/05/2025,Usuário Newcore,R$ 649.200,R$ 470,R$ 1.900,"Praça Olímpio Lima, 15 - Vila Belmiro, Santos - SP",102 m²,3 quartos,1 banheiro,1 vaga,,,Piscina,Elevador,,,,,,,Aceita animais,,,,Churrasqueira,,,,,,,,,,Salão de festas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP13638,2794056224,04/04/2025,29/05/2025,Rgl Imoveis,R$ 415.000,R$ 700,R$ 90,"Avenida Doutor Epitácio Pessoa - Aparecida, Santos - SP",55 m²,1 quarto,1 banheiro,1 vaga,8 andar,,,Elevador,,,,,Ar-condicionado,,Aceita animais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP12208,2696168281,06/03/2024,29/05/2025,R3 Imóveis,R$ 520.000,R$ 980,R$ 208,"Rua Saturnino de Brito, 177 - Marapé, Santos - SP",100 m²,2 quartos,1 banheiro,1 vaga,6 andar,,,Elevador,,,,Interfone,,,Aceita animais,,,,,,,Área de serviço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP12784,2720339358,07/06/2024,29/05/2025,R3 Imóveis,R$ 1.290.000,R$ 1.222,R$ 329,"Avenida Bartholomeu de Gusmão, 63 - Aparecida, Santos - SP",135 m²,3 quartos,2 banheiros,1 vaga,6 andar,,,,,,,,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32322,2779122342,14/02/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 480.000,R$ 550,R$ 130,"Aparecida, Santos - SP",80 m²,2 quartos,1 banheiro,1 vaga,2 andar,,,,,,,Interfone,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP09534,2760953256,03/12/2024,29/05/2025,Duarte Prime Brokers,R$ 500.000,R$ 1.100,isento,"Avenida Marechal Floriano Peixoto - Pompeia, Santos - SP",30 m²,1 quarto,1 banheiro,1 vaga,10 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,,,,,,,Lavanderia,,,,,,Vista para o mar,,,Salão de festas,,,,,Aquecimento,Portaria 24h,,,Academia,,,,,,,,Área de lazer,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26999,2805856961,14/05/2025,29/05/2025,Consultare Imóveis,R$ 424.000,R$ 750,R$ 126,"Rua Nabuco de Araújo, 2173 - Aparecida, Santos - SP",76 m²,1 quarto,1 banheiro,1 vaga,6 andar,,,Elevador,,,,Interfone,,,,,,,,,,,,,,,,,,,,,,,,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP7291,2791678117,27/03/2025,29/05/2025,Chave Santos Imóveis,R$ 750.000,R$ 763,R$ 148,"Avenida Bartholomeu de Gusmão - Embaré, Santos - SP",65 m²,2 quartos,2 banheiros,1 vaga,4 andar,Mobiliado,,,,,Porcelanato,Interfone,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,Vista para o mar,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30748,2755188500,08/11/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 1.100.000,R$ 1.300,R$ 308,"Boqueirão, Santos - SP",129 m²,3 quartos,3 banheiros,1 vaga,1 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,Varanda,,,,,,Área de serviço,,,,,,Cozinha,Salão de festas,,,,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP1.995,2695480180,04/03/2024,29/05/2025,Alves Assessoria Em Imóveis,R$ 2.400.000,R$ 1.980,R$ 1.100,"Ponta da Praia, Santos - SP",198 m²,3 quartos,5 banheiros,3 vagas,14 andar,Mobiliado,Piscina,Elevador,Lavabo,Sauna,Porcelanato,,Ar-condicionado,3 suítes,Aceita animais,Varanda,,Quadra poliesportiva,Churrasqueira,,,Área de serviço,Jardim,,Playground,Vista para o mar,Varanda gourmet,,Salão de festas,,Armário na cozinha,,Condomínio fechado,,Portaria 24h,,Espaço gourmet,Academia,Bicicletário,,,,Closet,,,,Portão eletrônico,Conexão à internet,Box blindex,Armário embutido no quarto,Armário no banheiro,Acesso para deficientes,Escritório,Spa,,,,,,,,,,,,,,,,,Salão de jogos,Varanda fechada com vidro,,,,Janela grande,,,Banheiro de serviço,Ambientes integrados,,,,,Churrasqueira na varanda,Armário embutido,,,,,,,,,Vista panorâmica,,,,,,,,,,Fogão,,,Cozinha gourmet,,,,,,,Piso de madeira,,,,,,,,,,Chuveiro a gás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freezer
AP04316,2762983014,10/12/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 1.170.000,R$ 720,R$ 468,"Rua Paraguassú - Boqueirão, Santos - SP",81 m²,3 quartos,3 banheiros,2 vagas,21 andar,,Piscina,,,,,,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,,,,,Playground,,,,,TV à cabo,Armário na cozinha,Circuito de segurança,,,,,,Academia,Bicicletário,,,,,,,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP12123,2697091306,09/03/2024,29/05/2025,R3 Imóveis,R$ 1.350.000,R$ 1.200,R$ 420,"Avenida Bartolomeu de Gusmão, 14 - Boqueirão, Santos - SP",124 m²,3 quartos,3 banheiros,2 vagas,6 andar,,,Elevador,,,,Interfone,,1 suíte,Aceita animais,Varanda,,,,,,,,,,Vista para o mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
